<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20210802,000000,287.8800000,289.4800000,285.2100000,286.7500000,38297270
GAZP,D,20210803,000000,286.7700000,288.0500000,284.3400000,287.0900000,27065240
GAZP,D,20210804,000000,287.8900000,288.8000000,286.0000000,287.9400000,23599750
GAZP,D,20210805,000000,287.3100000,288.2800000,285.1600000,285.9500000,47254880
GAZP,D,20210806,000000,285.2600000,285.7200000,277.8700000,282.2700000,90600850
GAZP,D,20210809,000000,282.2300000,287.9000000,280.8000000,286.6800000,68779100
GAZP,D,20210810,000000,288.0000000,288.8000000,285.7000000,288.6100000,28839550
GAZP,D,20210811,000000,288.9200000,291.4900000,287.1200000,290.3500000,37928360
GAZP,D,20210812,000000,290.2500000,293.8100000,290.2500000,293.2300000,37564370
GAZP,D,20210813,000000,292.6500000,293.9000000,291.7500000,292.7000000,21802270
GAZP,D,20210816,000000,291.4700000,295.4800000,290.9500000,295.1000000,32273890
GAZP,D,20210817,000000,295.1300000,299.5000000,290.3200000,298.3200000,50482060
GAZP,D,20210818,000000,299.0000000,299.9500000,295.0000000,295.0500000,35531240
GAZP,D,20210819,000000,293.4900000,294.7200000,289.6800000,293.6800000,55911470
GAZP,D,20210820,000000,293.7900000,294.9000000,289.5000000,292.5700000,38594640
GAZP,D,20210823,000000,294.7000000,297.9400000,294.1000000,297.6900000,38038340
GAZP,D,20210824,000000,299.0000000,301.0000000,295.9500000,298.7000000,48940480
GAZP,D,20210825,000000,298.7100000,299.2000000,294.3700000,296.7000000,30906470
GAZP,D,20210826,000000,295.9200000,295.9700000,293.0400000,294.3400000,24990510
GAZP,D,20210827,000000,295.8100000,300.0000000,294.8100000,299.6600000,34063060
GAZP,D,20210830,000000,301.6600000,305.5000000,299.9700000,305.1700000,69849150
GAZP,D,20210831,000000,305.8300000,307.6700000,304.1000000,305.6500000,64318080
GAZP,D,20210901,000000,306.6000000,313.9500000,306.1900000,312.8900000,79410570
GAZP,D,20210902,000000,313.5900000,314.8000000,310.3000000,312.3000000,53349820
GAZP,D,20210903,000000,312.7000000,317.9600000,311.1600000,317.9400000,63637790
GAZP,D,20210906,000000,319.0000000,329.3500000,318.6000000,328.9300000,80141350
GAZP,D,20210907,000000,329.9500000,333.0000000,325.5000000,327.7300000,71864800
GAZP,D,20210908,000000,328.4900000,328.5000000,322.2200000,327.6000000,58765620
GAZP,D,20210909,000000,326.0000000,328.1400000,323.5000000,324.5700000,40361580
GAZP,D,20210910,000000,326.5500000,330.0000000,325.5000000,326.4300000,41425440
GAZP,D,20210913,000000,327.5200000,333.0000000,327.3000000,332.7500000,55356420
GAZP,D,20210914,000000,333.1300000,339.9200000,332.3600000,338.9800000,97138220
GAZP,D,20210915,000000,339.3900000,344.2000000,337.7200000,343.3400000,108811990
GAZP,D,20210916,000000,342.0000000,342.9900000,337.0300000,338.5000000,94713520
GAZP,D,20210917,000000,338.8300000,339.2900000,333.3000000,334.5000000,61454980
GAZP,D,20210920,000000,329.9700000,332.0000000,321.2600000,325.7000000,72882270
GAZP,D,20210921,000000,328.7000000,336.7800000,328.4400000,335.3000000,77355030
GAZP,D,20210922,000000,338.4000000,341.4900000,337.4000000,340.5900000,60974110
GAZP,D,20210923,000000,342.0000000,345.2000000,339.4300000,343.4700000,63445330
GAZP,D,20210924,000000,343.6700000,344.9000000,340.0000000,344.2900000,40071320
GAZP,D,20210927,000000,347.5200000,355.1900000,347.0000000,355.1900000,80950780
GAZP,D,20210928,000000,359.0000000,361.8000000,353.6800000,354.0700000,93838880
GAZP,D,20210929,000000,354.0500000,360.9400000,352.3000000,360.8800000,60144670
GAZP,D,20210930,000000,363.2600000,364.5300000,359.5300000,360.8000000,69876200
GAZP,D,20211001,000000,358.4500000,363.7800000,356.0000000,363.2500000,47529090
GAZP,D,20211004,000000,364.6700000,378.3300000,364.3000000,376.0600000,102227330
GAZP,D,20211005,000000,378.0600000,389.8200000,378.0300000,389.8200000,134521820
GAZP,D,20211006,000000,394.9800000,397.6400000,370.2500000,381.3000000,216137070
GAZP,D,20211007,000000,382.1800000,384.3000000,361.6100000,370.7000000,160398770
GAZP,D,20211008,000000,371.5000000,373.0000000,364.7700000,366.1700000,70161810
GAZP,D,20211011,000000,369.0000000,372.6100000,363.7000000,369.8100000,77995010
